indicator, indicator.label
"EAP_TEAP_SEX_AGE_DSB_NB","Labour force by sex, age and disability status (thousands)"
"EAP_TEAP_SEX_EDU_NB","Labour force by sex and education (thousands)"
"EAP_TEAP_SEX_EDU_GEO_NB","Labour force by sex, education and rural / urban areas (thousands)"
"EAP_TEAP_SEX_EDU_MTS_NB","Labour force by sex, education and marital status (thousands)"
"EAP_TEAP_SEX_EDU_DSB_NB","Labour force by sex, education and disability status (thousands)"
"EAP_TEAP_SEX_GEO_NB","Labour force by sex and rural / urban areas (thousands)"
"EAP_TEAP_SEX_GEO_MTS_NB","Labour force by sex, rural / urban area and marital status (thousands)"
"EAP_TEAP_SEX_GEO_DSB_NB","Labour force by sex, rural / urban areas and disability status (thousands)"
"EAP_TEAP_SEX_MTS_NB","Labour force by sex and marital status (thousands)"
"EAP_TEAP_SEX_MTS_DSB_NB","Labour force by sex, marital status and disability status (thousands)"
"EAP_TEAP_SEX_DSB_NB","Labour force by sex and disability status (thousands)"
"EAP_TEA1_SEX_AGE_NB","Labour force by sex and age, seasonally adjusted series (thousands)"
"EAP_DWAP_SEX_AGE_RT","Labour force participation rate by sex and age (%)"
"EAP_DWAP_SEX_AGE_EDU_RT","Labour force participation rate by sex, age and education (%)"
"EAP_DWAP_SEX_AGE_GEO_RT","Labour force participation rate by sex, age and rural / urban areas (%)"
"EAP_DWAP_SEX_AGE_MTS_RT","Labour force participation rate by sex, age and marital status (%)"
"EAP_DWAP_SEX_AGE_DSB_RT","Labour force participation rate by sex, age and disability status (%)"
"EAP_DWAP_SEX_EDU_RT","Labour force participation rate by sex and education (%)"
"EAP_DWAP_SEX_EDU_GEO_RT","Labour force participation rate by sex, education and rural / urban areas (%)"
"EAP_DWAP_SEX_EDU_MTS_RT","Labour force participation rate by sex, education and marital status (%)"
"EAP_DWAP_SEX_EDU_DSB_RT","Labour force participation rate by sex, education and disability status (%)"
"EAP_DWAP_SEX_GEO_RT","Labour force participation rate by sex and rural / urban areas (%)"
"EAP_DWAP_SEX_GEO_MTS_RT","Labour force participation rate by sex, rural / urban area and marital status (%)"
"EAP_DWAP_SEX_GEO_DSB_RT","Labour force participation rate by sex, rural / urban areas and disability status (%)"
"EAP_DWAP_SEX_MTS_RT","Labour force participation rate by sex and marital status (%)"
"EAP_DWAP_SEX_MTS_DSB_RT","Labour force participation rate by sex, marital status and disability status (%)"
"EAP_DWAP_SEX_DSB_RT","Labour force participation rate by sex and disability status (%)"
"EAP_DWA1_SEX_AGE_RT","Labour force participation rate by sex and age, seasonally adjusted series (%)"
"GED_PLFP_SEX_HHT_GEO_RT","Prime-age labour force participation rate by sex, household type and rural / urban areas (%)"
"GED_PLFP_SEX_HHT_CHL_RT","Prime-age labour force participation rate by sex, household type and presence of children (%)"
"EMP_TEMP_SEX_AGE_NB","Employment by sex and age (thousands)"
"EMP_TEMP_SEX_AGE_EDU_NB","Employment by sex, age and education (thousands)"
"EMP_TEMP_SEX_AGE_GEO_NB","Employment by sex, age and rural / urban areas (thousands)"
"EMP_TEMP_SEX_AGE_MTS_NB","Employment by sex, age and marital status (thousands)"
"EMP_TEMP_SEX_AGE_DSB_NB","Employment by sex, age and disability status (thousands)"
"EMP_TEMP_SEX_AGE_STE_NB","Employment by sex, age and status in employment (thousands)"
"EMP_TEMP_SEX_AGE_ECO_NB","Employment by sex, age and economic activity (thousands)"
"EMP_TEMP_SEX_AGE_OCU_NB","Employment by sex, age and occupation (thousands)"
"EMP_TEMP_SEX_AGE_INS_NB","Employment by sex, age and public/private sector (thousands)"
"EMP_TEMP_SEX_AGE_JOB_NB","Employment by sex, age and working time arrangement (thousands)"
"EMP_TEMP_SEX_EDU_NB","Employment by sex and education (thousands)"
"EMP_TEMP_SEX_EDU_GEO_NB","Employment by sex, education and rural / urban areas (thousands)"
"EMP_TEMP_SEX_EDU_MTS_NB","Employment by sex, education and marital status (thousands)"
"EMP_TEMP_SEX_EDU_DSB_NB","Employment by sex, education and disability status (thousands)"
"EMP_TEMP_SEX_GEO_NB","Employment by sex and rural / urban areas (thousands)"
"EMP_TEMP_SEX_GEO_MTS_NB","Employment by sex, rural / urban area and marital status (thousands)"
"EMP_TEMP_SEX_GEO_DSB_NB","Employment by sex, rural / urban areas and disability status (thousands)"
"EMP_TEMP_SEX_MTS_NB","Employment by sex and marital status (thousands)"
"EMP_TEMP_SEX_MTS_DSB_NB","Employment by sex, marital status and disability status (thousands)"
"EMP_TEMP_SEX_DSB_NB","Employment by sex and disability status (thousands)"
"EMP_TEMP_SEX_STE_NB","Employment by sex and status in employment (thousands)"
"EMP_TEMP_SEX_STE_EDU_NB","Employment by sex, status in employment and education (thousands)"
"EMP_TEMP_SEX_STE_GEO_NB","Employment by sex, status in employment and rural / urban areas (thousands)"
"EMP_TEMP_SEX_STE_MTS_NB","Employment by sex, status in employment and marital status (thousands)"
"EMP_TEMP_SEX_STE_DSB_NB","Employment by sex, status in employment and disability status (thousands)"
"EMP_TEMP_SEX_STE_ECO_NB","Employment by sex, status in employment and economic activity (thousands)"
"EMP_TEMP_SEX_STE_OCU_NB","Employment by sex, status in employment and occupation (thousands)"
"EMP_TEMP_SEX_STE_INS_NB","Employment by sex, status in employment and public/private sector (thousands)"
"EMP_TEMP_SEX_STE_EST_NB","Employment by sex, status in employment and establishment size (thousands)"
"EMP_TEMP_SEX_STE_MJH_NB","Employment by sex, status in employment and multiple job holding (thousands)"
"EMP_TEMP_SEX_ECO_NB","Employment by sex and economic activity (thousands)"
"EMP_TEMP_SEX_ECO_EDU_NB","Employment by sex, economic activity and education (thousands)"
"EMP_TEMP_SEX_ECO_GEO_NB","Employment by sex, economic activity and rural / urban areas (thousands)"
"EMP_TEMP_SEX_ECO_MTS_NB","Employment by sex, economic activity and marital status (thousands)"
"EMP_TEMP_SEX_ECO_DSB_NB","Employment by sex, economic activity and disability status (thousands)"
"EMP_TEMP_ECO_OCU_NB","Employment by economic activity and occupation (thousands)"
"EMP_TEMP_SEX_ECO_INS_NB","Employment by sex, economic activity and public/private sector (thousands)"
"EMP_TEMP_SEX_ECO_EST_NB","Employment by sex, economic activity and establishment size (thousands)"
"EMP_TEMP_SEX_EC2_NB","Employment by sex and economic activity - ISIC level 2 (thousands)"
"EMP_TEMP_SEX_ECO_MJH_NB","Employment by sex, economic activity and multiple job holding (thousands)"
"EMP_TEMP_AGE_EC2_NB","Employment by age and economic activity - ISIC level 2 (thousands)"
"EMP_TEMP_SEX_EDU_EC2_NB","Employment by sex, education and economic activity - ISIC level 2 (thousands)"
"EMP_TEMP_SEX_STE_EC2_NB","Employment by sex, status in employment and economic activity - ISIC level 2 (thousands)"
"EMP_TEMP_SEX_OCU_EC2_NB","Employment by sex, occupation and economic activity - ISIC level 2 (thousands)"
"EMP_TEMP_SEX_IFL_EC2_NB","Employment by sex, informal / formal economy and economic activity - ISIC level 2 (thousands)"
"EMP_TEMP_SEX_EST_EC2_NB","Employment by sex, establishment size and economic activity - ISIC level 2 (thousands)"
"EMP_TEMP_SEX_OCU_NB","Employment by sex and occupation (thousands)"
"EMP_TEMP_SEX_OCU_EDU_NB","Employment by sex, occupation and education (thousands)"
"EMP_TEMP_SEX_OCU_GEO_NB","Employment by sex, occupation and rural / urban areas (thousands)"
"EMP_TEMP_SEX_OCU_MTS_NB","Employment by sex, occupation and marital status (thousands)"
"EMP_TEMP_SEX_OCU_DSB_NB","Employment by sex, occupation and disability status (thousands)"
"EMP_TEMP_SEX_OCU_INS_NB","Employment by sex, occupation and public/private sector (thousands)"
"EMP_TEMP_SEX_OCU_EST_NB","Employment by sex, occupation and establishment size (thousands)"
"EMP_TEMP_SEX_OCU_MJH_NB","Employment by sex, occupation and multiple job holding (thousands)"
"EMP_TEMP_SEX_OC2_NB","Employment by sex and occupation - ISCO level 2 (thousands)"
"EMP_TEMP_AGE_OC2_NB","Employment by age and occupation - ISCO level 2 (thousands)"
"EMP_TEMP_SEX_INS_NB","Employment by sex and public/private sector (thousands)"
"EMP_TEMP_SEX_INS_GEO_NB","Employment by sex, public/private sector and rural/urban areas (thousands)"
"EMP_TEMP_SEX_INS_MTS_NB","Employment by sex, public/private sector and marital status (thousands)"
"EMP_TEMP_SEX_INS_DSB_NB","Employment by sex, public/private sector and disability status (thousands)"
"EMP_TEMP_SEX_EST_NB","Employment by sex and establishment size (thousands)"
"EMP_TEMP_SEX_EST_GEO_NB","Employment by sex, establishment size and rural / urban areas (thousands)"
"EMP_TEMP_SEX_EST_MTS_NB","Employment by sex, establishment size and marital status (thousands)"
"EMP_TEMP_SEX_EST_DSB_NB","Employment by sex, establishment size and disability status (thousands)"
"EMP_TEMP_SEX_HOW_NB","Employment by sex and weekly hours actually worked (thousands)"
"EMP_TEMP_SEX_HOW_EDU_NB","Employment by sex, weekly hours actually worked and education (thousands)"
"EMP_TEMP_SEX_HOW_GEO_NB","Employment by sex, weekly hours actually worked and rural / urban areas (thousands)"
"EMP_TEMP_SEX_HOW_MTS_NB","Employment by sex, weekly hours actually worked and marital status (thousands)"
"EMP_TEMP_SEX_HOW_DSB_NB","Employment by sex, weekly hours actually worked and disability status (thousands)"
"EMP_TEMP_SEX_MJH_NB","Employment by sex and multiple-job holding (thousands)"
"EMP_TEMP_SEX_MJH_GEO_NB","Employment by sex, multiple job holding and rural / urban areas (thousands)"
"EMP_TEMP_SEX_MJH_EDU_NB","Employment by sex, multiple job holding and education (thousands)"
"EMP_TEMP_SEX_MJH_MTS_NB","Employment by sex, multiple job holding and marital status (thousands)"
"EMP_TEMP_SEX_MJH_DSB_NB","Employment by sex, multiple job holding and disability status (thousands)"
"EMP_STAT_SEX_STE_EDU_NB","Employment by sex, status in employment and 'educational mismatch', statistical approach (thousands)"
"EMP_NORM_SEX_STE_EDU_NB","Employment by sex, status in employment and 'educational mismatch', normative approach (thousands)"
"WBL_XVET_SEX_EDU_NB","Working-age population with vocational education or training by sex and education (thousands)"
"WBL_XVET_SEX_AGE_NB","Working-age population with vocational education or training by sex and age (thousands)"
"WBL_3VET_SEX_AGE_NB","Youth working-age population with vocational education or training by sex and age (thousands)"
"WBL_3WBL_SEX_WBL_NB","Youth work-based learners by sex and type (thousands)"
"WBL_3WBL_SEX_WBL_RT","Youth participation rate in work-based learning by sex and type (per 1000 persons)"
"WBL_TWBL_SEX_AGE_WBL_NB","Work-based learners by sex, age and type (thousands)"
"WBL_TWBL_SEX_EDU_WBL_NB","Work-based learners by sex, education and type (thousands)"
"WBL_TWBL_SEX_AGE_WBL_RT","Participation rate in work-based learning by sex, age and type (per 1000 persons)"
"EMP_TEM1_SEX_AGE_NB","Employment by sex and age, seasonally adjusted series (thousands)"
"EMP_TEM1_SEX_ECO_NB","Employment by sex and economic activity, seasonally adjusted series (thousands)"
"EMP_DWAP_SEX_AGE_RT","Employment-to-population ratio by sex and age (%)"
"EMP_DWAP_SEX_AGE_EDU_RT","Employment-to-population ratio by sex, age and education (%)"
"EMP_DWAP_SEX_AGE_GEO_RT","Employment-to-population ratio by sex, age and rural / urban areas (%)"
"EMP_DWAP_SEX_AGE_MTS_RT","Employment-to-population ratio by sex, age and marital status (%)"
"EMP_DWAP_SEX_AGE_DSB_RT","Employment-to-population ratio by sex, age and disability status (%)"
"EMP_DWAP_SEX_EDU_RT","Employment-to-population ratio by sex and education (%)"
"EMP_DWAP_SEX_EDU_GEO_RT","Employment-to-population ratio by sex, education and rural / urban areas (%)"
"EMP_DWAP_SEX_EDU_MTS_RT","Employment-to-population ratio by sex, education and marital status (%)"
"EMP_DWAP_SEX_EDU_DSB_RT","Employment-to-population ratio by sex, education and disability status (%)"
"EMP_DWAP_SEX_GEO_RT","Employment-to-population ratio by sex and rural / urban areas (%)"
"EMP_DWAP_SEX_GEO_MTS_RT","Employment-to-population ratio by sex, rural / urban area and marital status (%)"
"EMP_DWAP_SEX_GEO_DSB_RT","Employment-to-population ratio by sex, rural / urban areas and disability status (%)"
"EMP_DWAP_SEX_MTS_RT","Employment-to-population ratio by sex and marital status (%)"
"EMP_DWAP_SEX_MTS_DSB_RT","Employment-to-population ratio by sex, marital status and disability status (%)"
"EMP_DWAP_SEX_DSB_RT","Employment-to-population ratio by sex and disability status (%)"
"GED_PEPR_SEX_HHT_CHL_RT","Prime-age employment-to-population ratio by sex, household type and presence of children (%)"
"GED_PEPR_SEX_HHT_GEO_RT","Prime-age employment-to-population ratio by sex, household type and rural / urban areas (%)"
"EMP_DWA1_SEX_AGE_RT","Employment-to-population ratio by sex and age, seasonally adjusted series (%)"
"EMP_PTER_SEX_RT","Incidence of part-time employment by sex -- Common definition (%)"
"EMP_NIFL_SEX_NB","Informal employment by sex (thousands)"
"EMP_NIFL_SEX_AGE_NB","Informal employment by sex and age (thousands)"
"EMP_NIFL_SEX_AGE_EDU_NB","Informal employment by sex, age and education (thousands)"
"EMP_NIFL_SEX_AGE_GEO_NB","Informal employment by sex, age and rural / urban areas (thousands)"
"EMP_NIFL_SEX_AGE_MTS_NB","Informal employment by sex, age and marital status (thousands)"
"EMP_NIFL_SEX_AGE_DSB_NB","Informal employment by sex, age and disability status (thousands)"
"EMP_NIFL_SEX_EDU_NB","Informal employment by sex and education (thousands)"
"EMP_NIFL_SEX_EDU_GEO_NB","Informal employment by sex, education and rural / urban areas (thousands)"
"EMP_NIFL_SEX_EDU_MTS_NB","Informal employment by sex, education and marital status (thousands)"
"EMP_NIFL_SEX_EDU_DSB_NB","Informal employment by sex, education and disability status (thousands)"
"EMP_NIFL_SEX_GEO_NB","Informal employment by sex and rural / urban areas (thousands)"
"EMP_NIFL_SEX_GEO_MTS_NB","Informal employment by sex, rural / urban areas and marital status (thousands)"
"EMP_NIFL_SEX_GEO_DSB_NB","Informal employment by sex, rural / urban areas and disability status (thousands)"
"EMP_NIFL_SEX_MTS_NB","Informal employment by sex and marital status (thousands)"
"EMP_NIFL_SEX_MTS_DSB_NB","Informal employment by sex, marital status and disability status (thousands)"
"EMP_NIFL_SEX_DSB_NB","Informal employment by sex and disability status (thousands)"
"EMP_NIFL_SEX_AGE_ECO_NB","Informal employment by sex, age and economic activity (thousands)"
"EMP_NIFL_SEX_AGE_OCU_NB","Informal employment by sex, age and occupation (thousands)"
"EMP_NIFL_SEX_AGE_INS_NB","Informal employment by sex, age and public/private sector (thousands)"
"EMP_NIFL_SEX_AGE_JOB_NB","Informal employment by sex, age and working time arrangement (thousands)"
"EMP_NIFL_SEX_ECO_NB","Informal employment by sex and economic activity (thousands)"
"EMP_NIFL_SEX_ECO_EDU_NB","Informal employment by sex, economic activity and education (thousands)"
"EMP_NIFL_SEX_ECO_GEO_NB","Informal employment by sex, economic activity and rural / urban areas (thousands)"
"EMP_NIFL_SEX_ECO_MTS_NB","Informal employment by sex, economic activity and marital status (thousands)"
"EMP_NIFL_SEX_ECO_DSB_NB","Informal employment by sex, economic activity and disability status (thousands)"
"EMP_NIFL_ECO_OCU_NB","Informal employment by economic activity and occupation (thousands)"
"EMP_NIFL_SEX_ECO_INS_NB","Informal employment by sex, economic activity and public/private sector (thousands)"
"EMP_NIFL_SEX_ECO_EST_NB","Informal employment by sex, economic activity and establishment size (thousands)"
"EMP_NIFL_SEX_EC2_NB","Informal employment by sex and economic activity - ISIC level 2 (thousands)"
"EMP_NIFL_AGE_EC2_NB","Informal employment by age and economic activity - ISIC level 2 (thousands)"
"EMP_NIFL_SEX_OCU_NB","Informal employment by sex and occupation (thousands)"
"EMP_NIFL_SEX_OCU_EDU_NB","Informal employment by sex, occupation and education (thousands)"
"EMP_NIFL_SEX_OCU_GEO_NB","Informal employment by sex, occupation and rural / urban areas (thousands)"
"EMP_NIFL_SEX_OCU_MTS_NB","Informal employment by sex, occupation and marital status (thousands)"
"EMP_NIFL_SEX_OCU_DSB_NB","Informal employment by sex, occupation and disability status (thousands)"
"EMP_NIFL_SEX_OCU_INS_NB","Informal employment by sex, occupation and public/private sector (thousands)"
"EMP_NIFL_SEX_OCU_EST_NB","Informal employment by sex, occupation and establishment size (thousands)"
"EMP_NIFL_SEX_OC2_NB","Informal employment by sex and occupation - ISCO level 2 (thousands)"
"EMP_NIFL_AGE_OC2_NB","Informal employment by age and occupation - ISCO level 2 (thousands)"
"EMP_NIFL_SEX_INS_NB","Informal employment by sex and public/private sector (thousands)"
"EMP_NIFL_SEX_INS_GEO_NB","Informal employment by sex, public/private sector and rural/urban areas (thousands)"
"EMP_NIFL_SEX_INS_MTS_NB","Informal employment by sex, public/private sector and marital status (thousands)"
"EMP_NIFL_SEX_INS_DSB_NB","Informal employment by sex, public/private sector and disability status (thousands)"
"EMP_NIFL_SEX_EST_NB","Informal employment by sex and establishment size (thousands)"
"EMP_NIFL_SEX_EST_GEO_NB","Informal employment by sex, establishment size and rural / urban areas (thousands)"
"EMP_NIFL_SEX_EST_MTS_NB","Informal employment by sex, establishment size and marital status (thousands)"
"EMP_NIFL_SEX_EST_DSB_NB","Informal employment by sex, establishment size and disability status (thousands)"
"EMP_NIFL_SEX_STE_NB","Informal employment by sex and status in employment (thousands)"
"EMP_NIFL_SEX_HOW_NB","Informal employment by sex and weekly hours actually worked (thousands)"
"EMP_NIFL_SEX_RT","Informal employment rate by sex (%)"
"EMP_NIFL_SEX_AGE_RT","Informal employment rate by sex and age (%)"
"EMP_NIFL_SEX_AGE_EDU_RT","Informal employment rate by sex, age and education (%)"
"EMP_NIFL_SEX_AGE_GEO_RT","Informal employment rate by sex, age and rural / urban areas (%)"
"EMP_NIFL_SEX_AGE_MTS_RT","Informal employment rate by sex, age and marital status (%)"
"EMP_NIFL_SEX_AGE_DSB_RT","Informal employment rate by sex, age and disability status (%)"
"EMP_NIFL_SEX_EDU_RT","Informal employment rate by sex and education (%)"
"EMP_NIFL_SEX_EDU_GEO_RT","Informal employment rate by sex, education and rural / urban areas (%)"
"EMP_NIFL_SEX_EDU_MTS_RT","Informal employment rate by sex, education and marital status (%)"
"EMP_NIFL_SEX_EDU_DSB_RT","Informal employment rate by sex, education and disability status (%)"
"EMP_NIFL_SEX_GEO_RT","Informal employment rate by sex and rural / urban areas (%)"
"EMP_NIFL_SEX_GEO_MTS_RT","Informal employment rate by sex, rural / urban areas and marital status (%)"
"EMP_NIFL_SEX_GEO_DSB_RT","Informal employment rate by sex, rural / urban areas and disability status (%)"
"EMP_NIFL_SEX_MTS_RT","Informal employment rate by sex and marital status (%)"
"EMP_NIFL_SEX_MTS_DSB_RT","Informal employment rate by sex, marital status and disability status (%)"
"EMP_NIFL_SEX_DSB_RT","Informal employment rate by sex and disability status (%)"
"EMP_NIFL_SEX_AGE_ECO_RT","Informal employment rate by sex, age and economic activity (%)"
"EMP_NIFL_SEX_AGE_OCU_RT","Informal employment rate by sex, age and occupation (%)"
"EMP_NIFL_SEX_AGE_INS_RT","Informal employment rate by sex, age and public/private sector (%)"
"EMP_NIFL_SEX_AGE_JOB_RT","Informal employment rate by sex, age and working time arrangement (%)"
"EMP_NIFL_SEX_ECO_RT","Informal employment rate by sex and economic activity (%)"
"EMP_NIFL_SEX_ECO_EDU_RT","Informal employment rate by sex, economic activity and education (%)"
"EMP_NIFL_SEX_ECO_GEO_RT","Informal employment rate by sex, economic activity and rural / urban areas (%)"
"EMP_NIFL_SEX_ECO_MTS_RT","Informal employment rate by sex, economic activity and marital status (%)"
"EMP_NIFL_SEX_ECO_DSB_RT","Informal employment rate by sex, economic activity and disability status (%)"
"EMP_NIFL_ECO_OCU_RT","Informal employment rate by economic activity and occupation (%)"
"EMP_NIFL_SEX_ECO_INS_RT","Informal employment rate by sex, economic activity and public/private sector (%)"
"EMP_NIFL_SEX_ECO_EST_RT","Informal employment rate by sex, economic activity and establishment size (%)"
"EMP_NIFL_SEX_EC2_RT","Informal employment rate by sex and economic activity - ISIC level 2 (%)"
"EMP_NIFL_AGE_EC2_RT","Informal employment rate by age and economic activity - ISIC level 2 (%)"
"EMP_NIFL_SEX_OCU_RT","Informal employment rate by sex and occupation (%)"
"EMP_NIFL_SEX_OCU_EDU_RT","Informal employment rate by sex, occupation and education (%)"
"EMP_NIFL_SEX_OCU_GEO_RT","Informal employment rate by sex, occupation and rural / urban areas (%)"
"EMP_NIFL_SEX_OCU_MTS_RT","Informal employment rate by sex, occupation and marital status (%)"
"EMP_NIFL_SEX_OCU_DSB_RT","Informal employment rate by sex, occupation and disability status (%)"
"EMP_NIFL_SEX_OCU_INS_RT","Informal employment rate by sex, occupation and public/private sector (%)"
"EMP_NIFL_SEX_OCU_EST_RT","Informal employment rate by sex, occupation and establishment size (%)"
"EMP_NIFL_SEX_OC2_RT","Informal employment rate by sex and occupation - ISCO level 2 (%)"
"EMP_NIFL_AGE_OC2_RT","Informal employment rate by age and occupation - ISCO level 2 (%)"
"EMP_NIFL_SEX_INS_RT","Informal employment rate by sex and public/private sector (%)"
"EMP_NIFL_SEX_INS_GEO_RT","Informal employment rate by sex, public/private sector and rural/urban areas (%)"
"EMP_NIFL_SEX_INS_MTS_RT","Informal employment rate by sex, public/private sector and marital status (%)"
"EMP_NIFL_SEX_INS_DSB_RT","Informal employment rate by sex, public/private sector and disability status (%)"
"EMP_NIFL_SEX_EST_RT","Informal employment rate by sex and establishment size (%)"
"EMP_NIFL_SEX_EST_GEO_RT","Informal employment rate by sex, establishment size and rural / urban areas (%)"
"EMP_NIFL_SEX_EST_MTS_RT","Informal employment rate by sex, establishment size and marital status (%)"
"EMP_NIFL_SEX_EST_DSB_RT","Informal employment rate by sex, establishment size and disability status (%)"
"EMP_NIFL_SEX_STE_RT","Informal employment rate by status in employment (by sex) (%)"
"EMP_NIFL_SEX_HOW_RT","Informal employment rate by sex and weekly hours actually worked (%)"
"EMP_PIFL_SEX_NB","Employment outside the formal sector by sex (thousands)"
"EMP_PIFL_SEX_AGE_NB","Employment outside the formal sector by sex and age (thousands)"
"EMP_PIFL_SEX_AGE_EDU_NB","Employment outside the formal sector by sex, age and education (thousands)"
"EMP_PIFL_SEX_AGE_GEO_NB","Employment outside the formal sector by sex, age and rural / urban areas (thousands)"
"EMP_PIFL_SEX_AGE_MTS_NB","Employment outside the formal sector by sex, age and marital status (thousands)"
"EMP_PIFL_SEX_AGE_DSB_NB","Employment outside the formal sector by sex, age and disability status (thousands)"
"EMP_PIFL_SEX_EDU_NB","Employment outside the formal sector by sex and education (thousands)"
"EMP_PIFL_SEX_EDU_GEO_NB","Employment outside the formal sector by sex, education and rural / urban areas (thousands)"
"EMP_PIFL_SEX_EDU_MTS_NB","Employment outside the formal sector by sex, education and marital status (thousands)"
"EMP_PIFL_SEX_EDU_DSB_NB","Employment outside the formal sector by sex, education and disability status (thousands)"
"EMP_PIFL_SEX_GEO_NB","Employment outside the formal sector by sex and rural / urban areas (thousands)"
"EMP_PIFL_SEX_GEO_MTS_NB","Employment outside the formal sector by sex, rural / urban areas and marital status (thousands)"
"EMP_PIFL_SEX_GEO_DSB_NB","Employment outside the formal sector by sex, rural / urban areas and disability status (thousands)"
"EMP_PIFL_SEX_MTS_NB","Employment outside the formal sector by sex and marital status (thousands)"
"EMP_PIFL_SEX_MTS_DSB_NB","Employment outside the formal sector by sex, marital status and disability status (thousands)"
"EMP_PIFL_SEX_DSB_NB","Employment outside the formal sector by sex and disability status (thousands)"
"EMP_PIFL_SEX_AGE_ECO_NB","Employment outside the formal sector by sex, age and economic activity (thousands)"
"EMP_PIFL_SEX_AGE_OCU_NB","Employment outside the formal sector by sex, age and occupation (thousands)"
"EMP_PIFL_SEX_AGE_INS_NB","Employment outside the formal sector by sex, age and public/private sector (thousands)"
"EMP_PIFL_SEX_AGE_JOB_NB","Employment outside the formal sector by sex, age and working time arrangement (thousands)"
