note_source, note_source.label
"S7:56","Institutional sector coverage: Public sector only"
"S7:57","Institutional sector coverage: Private sector only"
"S7:2922","Institutional sector coverage: Excluding private sector"
"S7:6320","Institutional sector coverage: Excluding general government"
"S7:1570","Institutional sector coverage: Excluding federal juridisctions"
"S7:1487","Institutional sector coverage: Excluding local jurisdictions"
"S7:58","Institutional sector coverage: Nonstandard institutional sector coverage"
"S7:2762","Institutional sector coverage: Private and parastatals sector only"
"S7:3914","Institutional sector coverage: Excluding certain categories of public workers"
"S8:61","Economic activity coverage: Excluding agriculture"
"S8:1640","Economic activity coverage: Excluding public administration"
"S8:1619","Economic activity coverage: Excluding activities of households as employers and of extraterritorial organizations and bodies"
"S8:2815","Economic activity coverage: Excluding agriculture and activities of households as employers and of extraterritorial organisations and bodies"
"S8:4128","Economic activity coverage: Excluding public administration, education, and human health and social work"
"S8:2603","Economic activity coverage: Excluding agriculture and non-market services"
"S8:2566","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies"
"S8:2771","Economic activity coverage: Excluding construction"
"S8:3211","Economic activity coverage: Excluding public administration, and activities of households as employers and of extraterritorial organisations and bodies"
"S8:3264","Economic activity coverage: Industry only"
"S8:62","Economic activity coverage: Manufacturing industries only"
"S8:2769","Economic activity coverage: Manufacturing, services, and repair trades only"
"S8:2768","Economic activity coverage: Wholesale and retail only"
"S8:63","Economic activity coverage: Nonstandard economic activity coverage"
"S8:3894","Economic activity coverage: Excluding activities of households as employers, undifferentiated good and services-producing activities of households for own use"
"S8:3907","Economic activity coverage: Excluding agriculture, hunting, forestry and fishing"
"S8:3766","Economic activity coverage: Excluding agriculture, fishing and international organizations"
"S8:3943","Economic activity coverage: Public administration only"
"S9:3478","Reference group coverage: Total employment"
"S9:66","Reference group coverage: Employees"
"S9:67","Reference group coverage: Wage earners / blue collar / production workers"
"S9:68","Reference group coverage: Salaried employed / white collar / office workers"
"S9:1517","Reference group coverage: Excluding employees in private domestic services"
"S9:369","Reference group coverage: Excluding unpaid family workers"
"S9:1581","Reference group coverage: Excluding students"
"S9:1583","Reference group coverage: Excluding disabled persons"
"S9:1582","Reference group coverage: Excluding pensioners"
"S9:371","Reference group coverage: Excluding unemployed"
"S9:366","Reference group coverage: Including first time job seekers"
"S9:372","Reference group coverage: Excluding first time job seekers"
"S9:259","Reference group coverage: Insured persons"
"S9:3018","Reference group coverage: Excluding self-employed"
"S9:2923","Reference group coverage: Employees and members of producers¿ cooperatives"
"S9:261","Reference group coverage: Work applicants"
"S9:391","Reference group coverage: Adults"
"S9:2783","Reference group coverage: Garment employees"
"S9:2780","Reference group coverage: Industrial, agricultural, and institution-based employees"
"S9:2777","Reference group coverage: Manual workers, shop assistants, and domestic helpers"
"S9:2775","Reference group coverage: Unskilled employees"
"S9:2784","Reference group coverage: Unskilled factory employees"
"S9:2778","Reference group coverage: Permanent employees"
"S9:2898","Reference group coverage: Excluding temporarily absent from work"
"S9:2958","Reference group coverage: Including seasonal workers who were currently not employed nor seeking work"
"S9:3269","Reference group coverage: Commercial or industrial employees"
"S9:2551","Reference group coverage: Excluding unemployed whose last period of employment was over a year ago"
"S9:3479","Reference group coverage: Employees, excluding domestic services"
"S9:362","Reference group coverage: Nonstandard coverage of employed and/or unemployed persons"
"S9:4134","Reference group coverage: Including non residents"
"S6:359","Establishment size coverage: All establishments with at least 2 employees"
"S6:1463","Establishment size coverage: All establishments with at least 3 employees"
"S6:47","Establishment size coverage: All establishments with at least 5 employees"
"S6:48","Establishment size coverage: All establishments with at least 10 employees"
"S6:358","Establishment size coverage: All establishments with at least 15 employees"
"S6:1602","Establishment size coverage: All establishments with at least 16 employees"
"S6:49","Establishment size coverage: All establishments with at least 20 employees"
"S6:50","Establishment size coverage: All establishments with at least 25 employees"
"S6:2956","Establishment size coverage: All establishments with at least 30 employees"
"S6:51","Establishment size coverage: All establishments with at least 50 employees"
"S6:52","Establishment size coverage: All establishments with at least 100 employees"
"S6:2683","Establishment size coverage: All establishments with at least 50 employees and a sample of those with less than 50 employees"
"S6:53","Establishment size coverage: Nonstandard establishment size coverage"
"S10:73","System of national accounts: 2008 SNA"
"S10:72","System of national accounts: 1993 SNA"
"S10:3598","System of national accounts: 2010 ESA"
"S10:74","System of national accounts: Nonstandard SNA"
"T2:79","Age coverage - minimum age: Less than or equal to 9 years old"
"T2:239","Age coverage - minimum age: 10 years old"
"T2:80","Age coverage - minimum age: 11 years old"
"T2:81","Age coverage - minimum age: 12 years old"
"T2:82","Age coverage - minimum age: 13 years old"
"T2:83","Age coverage - minimum age: 14 years old"
"T2:85","Age coverage - minimum age: 16 years old"
"T2:86","Age coverage - minimum age: 17 years old"
"T2:87","Age coverage - minimum age: 18 years old"
"T2:5833","Age coverage - minimum age: 20 years old"
"T2:3110","Age coverage - minimum age: 10 years old in rural areas and 12 years old in urban areas"
"T2:254","Age coverage - minimum age: Nonstandard minimum age"
"T3:2479","Age coverage - maximum age: 24 years old"
"T3:3101","Age coverage - maximum age: 28 years old"
"T3:2481","Age coverage - maximum age: 29 years old"
"T3:3712","Age coverage - maximum age: 60 years old"
"T3:90","Age coverage - maximum age: Less than or equal to 60 years old"
"T3:3919","Age coverage - maximum age: 60 for men and 55 for women"
"T3:91","Age coverage - maximum age: 61 years old"
"T3:6308","Age coverage - maximum age: 61.5 years old"
"T3:92","Age coverage - maximum age: 62 years old"
"T3:3657","Age coverage - maximum age: 62 for men and 59 for women"
"T3:93","Age coverage - maximum age: 63 years old"
"T3:4189","Age coverage - maximum age: 62.5 for men and 59.5 for women"
"T3:6307","Age coverage - maximum age: 63.5 for men and 60.5 for women"
"T3:94","Age coverage - maximum age: 64 years old"
"T3:2819","Age coverage - maximum age: 64 for men and 61 for women"
"T3:95","Age coverage - maximum age: 65 years old"
"T3:3936","Age coverage - maximum age: 65 for men and 63 for women"
"T3:3328","Age coverage - maximum age: 59 for men and 54 for women"
"T3:6256","Age coverage - maximum age: 64 for men and 61 for women"
"T3:96","Age coverage - maximum age: 66 years old"
"T3:99","Age coverage - maximum age: 69 years old"
"T3:100","Age coverage - maximum age: 70 years old"
"T3:102","Age coverage - maximum age: 72 years old"
"T3:104","Age coverage - maximum age: 74 years old"
"T3:240","Age coverage - maximum age: 75 years old"
"T3:105","Age coverage - maximum age: 76 years or older, but bounded"
"T3:2849","Age coverage - maximum age: 79 years old"
"T3:255","Age coverage - maximum age: Nonstandard maximum age"
